hello
./datasets/cifarmnist2_10000.pt dataset not found. Creating dataset...
Files already downloaded and verified
Files already downloaded and verified
epoch           train_acc       test_acc        time         
38              0.71840         0.72500         0.67641      
39              0.71870         0.72600         0.67608      
40              0.71930         0.72400         0.67698      
41              0.71970         0.72700         0.67709      
42              0.72020         0.72300         0.67745      
43              0.72060         0.72800         0.67576      
44              0.72060         0.72500         0.67786      
45              0.72040         0.72900         0.67716      
46              0.64710         0.76300         0.82403      
47              0.64020         0.77500         0.84814      
48              0.59190         0.78700         0.84728      
49              0.57420         0.79900         0.84892      
0               0.00000         0.00000         36.52631     
./datasets/cifarmnist2_10000.pt dataset not found. Creating dataset...
Files already downloaded and verified
Files already downloaded and verified
epoch           train_acc       test_acc        time         
0               0.84740         0.11300         2.56821      
1               0.84390         0.19100         0.70066      
2               0.85150         0.22700         0.69797      
3               0.84840         0.29400         0.69821      
4               0.86270         0.25100         0.69637      
5               0.86780         0.32300         0.69871      
6               0.87440         0.38100         0.70026      
7               0.87200         0.34500         0.70166      
8               0.87830         0.43500         0.69633      
9               0.89250         0.51100         0.69659      
10              0.90030         0.51000         0.69545      
11              0.89720         0.53000         0.69590      
12              0.90810         0.47200         0.69459      
13              0.91490         0.42700         0.69552      
14              0.91230         0.53300         0.69399      
15              0.84600         0.65200         0.69469      
16              0.71840         0.63200         0.69336      
17              0.71220         0.63300         0.69424      
18              0.72260         0.63000         0.69359      
19              0.71730         0.63700         0.69437      
20              0.72170         0.63700         0.69399      
21              0.72860         0.64200         0.69373      
22              0.72740         0.64300         0.69409      
23              0.72890         0.63800         0.69292      
24              0.73150         0.63600         0.69336      
25              0.72320         0.63200         0.69276      
26              0.71460         0.63100         0.69518      
27              0.66030         0.63400         0.69402      
28              0.56520         0.48200         0.69279      
29              0.64140         0.60200         0.69353      
30              0.59450         0.58200         0.69395      
31              0.58680         0.58700         0.69347      
32              0.58730         0.58900         0.69399      
33              0.58720         0.59100         0.69472      
34              0.58710         0.59200         0.69284      
35              0.58760         0.59000         0.69295      
36              0.58720         0.59100         0.69219      
37              0.58770         0.59000         0.69183      
38              0.58740         0.58700         0.69231      
39              0.58820         0.58900         0.69283      
40              0.58750         0.58800         0.69249      
41              0.58830         0.58700         0.69092      
42              0.58730         0.58600         0.69174      
43              0.58810         0.58500         0.69051      
44              0.58740         0.58100         0.69185      
45              0.58820         0.58500         0.69149      
46              0.56370         0.53200         0.84080      
47              0.55770         0.52100         0.86931      
48              0.43060         0.66400         0.86932      
49              0.54800         0.49500         0.87202      
0               0.00000         0.00000         37.28453     
./datasets/cifarmnist2_10000.pt dataset not found. Creating dataset...
Files already downloaded and verified
Files already downloaded and verified
epoch           train_acc       test_acc        time         
0               0.84780         0.12300         2.54457      
1               0.85140         0.13100         0.75752      
2               0.86130         0.24800         0.75526      
3               0.86010         0.23000         0.75242      
4               0.87180         0.31600         0.75400      
5               0.87660         0.41500         0.75343      
6               0.88310         0.39500         0.75379      
7               0.88720         0.41500         0.75549      
8               0.89770         0.41500         0.75399      
9               0.90400         0.36000         0.75507      
10              0.90750         0.47300         0.75597      
11              0.91240         0.40500         0.75851      
12              0.91270         0.47600         0.70033      
13              0.92260         0.40000         0.69567      
14              0.93730         0.41600         0.72256      
15              0.77610         0.69900         0.75161      
16              0.70750         0.71700         0.75160      
17              0.71280         0.67900         0.74844      
18              0.66060         0.70000         0.75051      
19              0.66440         0.72500         0.75072      
20              0.64260         0.64600         0.74958      
21              0.61380         0.66300         0.74692      
22              0.65860         0.71900         0.75046      
23              0.62580         0.60000         0.75127      
24              0.61960         0.61200         0.74906      
25              0.62100         0.65200         0.74584      
26              0.67240         0.71200         0.74928      
27              0.60730         0.64900         0.74938      
28              0.60440         0.64700         0.74935      
29              0.58090         0.66300         0.74495      
30              0.58430         0.72400         0.74750      
31              0.57860         0.68000         0.74696      
32              0.57650         0.67800         0.74380      
33              0.57670         0.68100         0.74573      
34              0.57850         0.67700         0.74584      
35              0.57910         0.68200         0.74604      
36              0.57950         0.67600         0.74508      
37              0.57940         0.68000         0.74477      
38              0.57960         0.67800         0.74575      
39              0.58100         0.68000         0.74435      
40              0.58100         0.67900         0.74514      
41              0.58160         0.68000         0.74734      
42              0.58220         0.68000         0.74670      
43              0.58260         0.68000         0.74556      
44              0.58310         0.68000         0.74670      
45              0.58370         0.68000         0.74539      
46              0.59970         0.73600         0.90197      
47              0.58770         0.48700         0.93825      
48              0.59100         0.48800         0.94149      
49              0.57080         0.48300         0.93762      
0               0.00000         0.00000         39.87577     
./datasets/cifarmnist2_10000.pt dataset not found. Creating dataset...
Files already downloaded and verified
Files already downloaded and verified
epoch           train_acc       test_acc        time         
0               0.84910         0.10600         2.67639      
1               0.85290         0.15800         0.75416      
2               0.85760         0.25400         0.75619      
3               0.87150         0.30300         0.74926      
4               0.87240         0.30100         0.75457      
5               0.87700         0.36400         0.75046      
6               0.88040         0.31900         0.75119      
7               0.88950         0.36500         0.74892      
8               0.89270         0.35400         0.76637      
9               0.90290         0.45700         0.75276      
10              0.90510         0.43800         0.74552      
11              0.91850         0.48800         0.75176      
12              0.91620         0.56600         0.70318      
13              0.92770         0.44600         0.69215      
14              0.93700         0.44700         0.68267      
15              0.87610         0.56500         0.68358      
16              0.84390         0.62200         0.68113      
17              0.84250         0.59100         0.68316      
18              0.85240         0.61400         0.68457      
19              0.84100         0.62300         0.68573      
20              0.84760         0.62200         0.68521      
21              0.84630         0.61300         0.68514      
22              0.84840         0.60400         0.68561      
23              0.86450         0.62900         0.68530      
24              0.87850         0.60000         0.68620      
25              0.88880         0.59300         0.68796      
26              0.88140         0.59100         0.68721      
27              0.86970         0.60900         0.68731      
28              0.85560         0.65100         0.68546      
29              0.86890         0.64600         0.68513      
30              0.86770         0.65100         0.68539      
31              0.86280         0.64800         0.68401      
32              0.86650         0.64100         0.68528      
33              0.87000         0.64300         0.68946      
34              0.87010         0.64100         0.68527      
35              0.86780         0.64200         0.68532      
36              0.86940         0.64500         0.68478      
37              0.86890         0.64300         0.68365      
38              0.86980         0.64300         0.68226      
39              0.86910         0.64200         0.68438      
40              0.86950         0.64400         0.68471      
41              0.87010         0.64300         0.68453      
42              0.87020         0.64300         0.68369      
43              0.86980         0.64300         0.68339      
44              0.87010         0.64300         0.68476      
45              0.87060         0.64200         0.68500      
46              0.84610         0.65300         0.82954      
47              0.85570         0.61000         0.85695      
48              0.83720         0.67800         0.85613      
49              0.83740         0.67800         0.85439      
0               0.00000         0.00000         37.68311     
