runid,date,model,hidden_dim,algorithm,dataset,epochs,time elapsed,record_train_acc,record_test_acc,last_train_acc,last_test_acc,target density/prune,final l1 norm,learning rate,optimizer,momentum,percent zeros,irmv1_gradnorm penalty,irmv1_penalty_anneal_iter,pgd_anneal_iter,orig 28x28,ts,te,fraction z,pgd skip,rho tolerance
0,9/27/2024 16:16,resnet18,390,probmask,mnistcifar,50,47.27614284,0.629200009,0.657000007,0.635200012,0.547000022,0.814453125,20.88732338,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:15,resnet18,390,probmask,mnistcifar,50,46.19272971,0.642000013,0.636,0.67380003,0.585999998,0.814453125,20.65333176,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:14,resnet18,390,probmask,mnistcifar,50,42.90126014,0.669600027,0.625000005,0.669600027,0.625000005,0.814453125,21.56795502,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:14,resnet18,390,probmask,mnistcifar,50,42.70699406,0.657900022,0.604000009,0.657900022,0.604000009,0.814453125,20.91160202,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:13,resnet18,390,probmask,mnistcifar,50,46.61626577,0.65190002,0.653000013,0.679900029,0.591999993,0.814453125,19.14027596,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:12,resnet18,390,probmask,mnistcifar,50,42.483886,0.668300025,0.621999992,0.663700023,0.608000007,0.82421875,20.99396896,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:11,resnet18,390,probmask,mnistcifar,50,42.74525142,0.624100008,0.650999995,0.708100036,0.593000007,0.82421875,22.60158539,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:10,resnet18,390,probmask,mnistcifar,50,43.15550613,0.64780002,0.632,0.687600029,0.60600001,0.82421875,22.35787392,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:09,resnet18,390,probmask,mnistcifar,50,46.45906973,0.642300018,0.634000002,0.687300032,0.595999991,0.82421875,20.21359253,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:09,resnet18,390,probmask,mnistcifar,50,45.74536777,0.62960001,0.64600001,0.69860003,0.605999991,0.82421875,20.49807167,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
